,Step,PotEng
0,0.0,34327010.0
1,1.0,34326394.0
2,1.0,34326394.0
3,10.0,34326124.0
4,20.0,34326157.0
5,30.0,34326090.0
6,40.0,34325894.0
7,50.0,34325908.0
8,60.0,34325922.0
9,70.0,34325920.0
10,80.0,34325867.0
11,90.0,34325938.0
12,100.0,34325891.0
13,110.0,34325819.0
14,120.0,34325868.0
15,130.0,34325815.0
16,140.0,34325801.0
17,150.0,34325812.0
18,160.0,34325786.0
19,170.0,34325756.0
20,180.0,34325731.0
21,190.0,34325747.0
22,200.0,34325688.0
23,210.0,34325667.0
24,220.0,34325709.0
25,230.0,34325683.0
26,240.0,34325703.0
27,250.0,34325694.0
28,260.0,34325685.0
29,270.0,34325661.0
30,280.0,34325673.0
31,290.0,34325651.0
32,300.0,34325631.0
33,310.0,34325627.0
34,320.0,34325614.0
35,330.0,34325621.0
36,340.0,34325598.0
37,350.0,34325613.0
38,360.0,34325616.0
39,370.0,34325577.0
40,380.0,34325591.0
41,390.0,34325570.0
42,400.0,34325574.0
43,410.0,34325573.0
44,420.0,34325566.0
45,430.0,34325600.0
46,440.0,34325564.0
47,450.0,34325547.0
48,460.0,34325545.0
49,470.0,34325542.0
50,480.0,34325564.0
51,490.0,34325551.0
52,500.0,34325572.0
53,510.0,34325549.0
54,520.0,34325518.0
55,530.0,34325554.0
56,540.0,34325547.0
57,550.0,34325563.0
58,560.0,34325542.0
59,570.0,34325553.0
60,580.0,34325560.0
61,590.0,34325549.0
62,600.0,34325572.0
63,610.0,34325554.0
64,620.0,34325557.0
65,630.0,34325551.0
66,640.0,34325535.0
67,650.0,34325567.0
68,660.0,34325566.0
69,670.0,34325569.0
70,680.0,34325560.0
71,690.0,34325568.0
72,700.0,34325564.0
73,710.0,34325545.0
74,720.0,34325604.0
75,730.0,34325612.0
76,740.0,34325588.0
77,750.0,34325582.0
78,760.0,34325594.0
79,770.0,34325609.0
80,780.0,34325563.0
81,790.0,34325595.0
82,800.0,34325605.0
83,810.0,34325584.0
84,820.0,34325614.0
85,830.0,34325606.0
86,840.0,34325623.0
87,850.0,34325609.0
88,860.0,34325609.0
89,870.0,34325636.0
90,880.0,34325614.0
91,890.0,34325609.0
92,900.0,34325615.0
93,910.0,34325619.0
94,920.0,34325614.0
95,930.0,34325597.0
96,940.0,34325586.0
97,950.0,34325595.0
98,960.0,34325595.0
99,970.0,34325583.0
100,980.0,34325577.0
101,990.0,34325591.0
102,1000.0,34325556.0
103,1010.0,34325575.0
104,1020.0,34325563.0
105,1030.0,34325545.0
106,1040.0,34325550.0
107,1050.0,34325567.0
108,1060.0,34325559.0
109,1070.0,34325551.0
110,1080.0,34325542.0
111,1090.0,34325556.0
112,1100.0,34325557.0
113,1110.0,34325561.0
114,1120.0,34325575.0
115,1130.0,34325562.0
116,1140.0,34325548.0
117,1150.0,34325570.0
118,1160.0,34325561.0
119,1170.0,34325549.0
120,1180.0,34325549.0
121,1190.0,34325531.0
122,1200.0,34325556.0
123,1210.0,34325554.0
124,1220.0,34325548.0
125,1230.0,34325557.0
126,1240.0,34325541.0
127,1250.0,34325565.0
128,1260.0,34325551.0
129,1270.0,34325527.0
130,1280.0,34325527.0
131,1290.0,34325558.0
132,1300.0,34325548.0
133,1310.0,34325530.0
134,1320.0,34325542.0
135,1330.0,34325559.0
136,1340.0,34325544.0
137,1350.0,34325537.0
138,1360.0,34325540.0
139,1370.0,34325576.0
140,1380.0,34325558.0
141,1390.0,34325553.0
142,1400.0,34325572.0
143,1410.0,34325578.0
144,1420.0,34325566.0
145,1430.0,34325565.0
146,1440.0,34325549.0
147,1450.0,34325548.0
148,1460.0,34325546.0
149,1470.0,34325561.0
150,1480.0,34325545.0
151,1490.0,34325537.0
152,1500.0,34325555.0
153,1510.0,34325574.0
154,1520.0,34325550.0
155,1530.0,34325557.0
156,1540.0,34325567.0
157,1550.0,34325577.0
158,1560.0,34325598.0
159,1570.0,34325575.0
160,1580.0,34325555.0
161,1590.0,34325553.0
162,1600.0,34325594.0
163,1610.0,34325580.0
164,1620.0,34325523.0
165,1630.0,34325553.0
166,1640.0,34325583.0
167,1650.0,34325582.0
168,1660.0,34325578.0
169,1670.0,34325562.0
170,1680.0,34325576.0
171,1690.0,34325564.0
172,1700.0,34325559.0
173,1710.0,34325554.0
174,1720.0,34325564.0
175,1730.0,34325585.0
176,1740.0,34325563.0
177,1750.0,34325559.0
178,1760.0,34325563.0
179,1770.0,34325568.0
180,1780.0,34325555.0
181,1790.0,34325556.0
182,1800.0,34325552.0
183,1810.0,34325564.0
184,1820.0,34325549.0
185,1830.0,34325561.0
186,1840.0,34325579.0
187,1850.0,34325550.0
188,1860.0,34325560.0
189,1870.0,34325573.0
190,1880.0,34325582.0
191,1890.0,34325584.0
192,1900.0,34325564.0
193,1910.0,34325586.0
194,1920.0,34325600.0
195,1930.0,34325576.0
196,1940.0,34325571.0
197,1950.0,34325576.0
198,1960.0,34325585.0
199,1970.0,34325576.0
200,1980.0,34325576.0
201,1990.0,34325593.0
202,2000.0,34325588.0
203,2001.0,34325588.0
