,Step,c_T
0,0.0,300.0
1,1.0,300.0
2,1.0,300.0
3,10.0,421.82708
4,20.0,403.98604
5,30.0,426.44565
6,40.0,503.7254
7,50.0,485.93221
8,60.0,468.68885
9,70.0,459.46211
10,80.0,472.27232
11,90.0,429.39105
12,100.0,439.21973
13,110.0,459.13788
14,120.0,423.77397
15,130.0,434.62084
16,140.0,428.90722
17,150.0,412.619
18,160.0,412.5441
19,170.0,413.73856
20,180.0,412.59919
21,190.0,394.27087
22,200.0,409.47282
23,210.0,406.42574
24,220.0,376.71756
25,230.0,377.68262
26,240.0,358.89024
27,250.0,353.43846
28,260.0,348.63389
29,270.0,350.5743
30,280.0,336.96878
31,290.0,339.12042
32,300.0,340.83542
33,310.0,334.71563
34,320.0,332.92728
35,330.0,322.65706
36,340.0,326.06656
37,350.0,313.13817
38,360.0,305.88912
39,370.0,317.51733
40,380.0,305.94089
41,390.0,309.88651
42,400.0,303.17356
43,410.0,299.05016
44,420.0,297.75819
45,430.0,278.90007
46,440.0,291.83157
47,450.0,295.70484
48,460.0,293.23003
49,470.0,291.89717
50,480.0,280.1035
51,490.0,283.71726
52,500.0,272.86977
53,510.0,281.54543
54,520.0,294.55752
55,530.0,277.94091
56,540.0,280.66633
57,550.0,273.70025
58,560.0,283.32683
59,570.0,279.33819
60,580.0,277.36529
61,590.0,283.7309
62,600.0,275.127
63,610.0,285.4212
64,620.0,286.93907
65,630.0,292.33622
66,640.0,302.76921
67,650.0,291.17434
68,660.0,294.46901
69,670.0,296.1056
70,680.0,303.24487
71,690.0,303.035
72,700.0,307.43005
73,710.0,318.50863
74,720.0,294.45216
75,730.0,293.26459
76,740.0,306.14845
77,750.0,311.07105
78,760.0,308.00139
79,770.0,303.22463
80,780.0,325.40742
81,790.0,312.11755
82,800.0,308.77921
83,810.0,318.96007
84,820.0,306.08636
85,830.0,310.17053
86,840.0,302.34358
87,850.0,308.75974
88,860.0,308.63464
89,870.0,296.3509
90,880.0,305.61814
91,890.0,307.84916
92,900.0,304.56849
93,910.0,302.62155
94,920.0,303.97702
95,930.0,310.51538
96,940.0,314.61872
97,950.0,309.37282
98,960.0,308.03732
99,970.0,311.71576
100,980.0,312.75865
101,990.0,304.40952
102,1000.0,317.6123
103,1010.0,306.78169
104,1020.0,309.48415
105,1030.0,315.03558
106,1040.0,309.34065
107,1050.0,298.74414
108,1060.0,299.75458
109,1070.0,300.42347
110,1080.0,301.33467
111,1090.0,292.56965
112,1100.0,289.83921
113,1110.0,286.22223
114,1120.0,277.6962
115,1130.0,281.93066
116,1140.0,287.23463
117,1150.0,276.69168
118,1160.0,280.52387
119,1170.0,285.95836
120,1180.0,286.03951
121,1190.0,294.64635
122,1200.0,284.20673
123,1210.0,286.27484
124,1220.0,289.96538
125,1230.0,287.32553
126,1240.0,295.7489
127,1250.0,286.91947
128,1260.0,294.94121
129,1270.0,307.58018
130,1280.0,309.74501
131,1290.0,298.19233
132,1300.0,304.10777
133,1310.0,313.53088
134,1320.0,309.65779
135,1330.0,303.53746
136,1340.0,311.14635
137,1350.0,315.01103
138,1360.0,314.27854
139,1370.0,298.69275
140,1380.0,307.1308
141,1390.0,309.28879
142,1400.0,300.67405
143,1410.0,297.98232
144,1420.0,303.03443
145,1430.0,303.94574
146,1440.0,310.72657
147,1450.0,310.68149
148,1460.0,310.67462
149,1470.0,303.47489
150,1480.0,309.98526
151,1490.0,312.21737
152,1500.0,302.70563
153,1510.0,293.23251
154,1520.0,302.63223
155,1530.0,298.63785
156,1540.0,292.85643
157,1550.0,287.42557
158,1560.0,277.57956
159,1570.0,287.42695
160,1580.0,295.81031
161,1590.0,297.08472
162,1600.0,278.80285
163,1610.0,285.4282
164,1620.0,311.28921
165,1630.0,298.36555
166,1640.0,285.58006
167,1650.0,286.98128
168,1660.0,289.72263
169,1670.0,297.96569
170,1680.0,293.12935
171,1690.0,300.10901
172,1700.0,303.81264
173,1710.0,307.59025
174,1720.0,304.14318
175,1730.0,295.98771
176,1740.0,306.78468
177,1750.0,309.93923
178,1760.0,308.99611
179,1770.0,307.47892
180,1780.0,314.13768
181,1790.0,313.47556
182,1800.0,315.31962
183,1810.0,309.60121
184,1820.0,316.00343
185,1830.0,309.57114
186,1840.0,300.74538
187,1850.0,312.90328
188,1860.0,306.98465
189,1870.0,299.71686
190,1880.0,294.12261
191,1890.0,292.07742
192,1900.0,299.98566
193,1910.0,289.3693
194,1920.0,282.10883
195,1930.0,292.32596
196,1940.0,294.37888
197,1950.0,291.94719
198,1960.0,288.04424
199,1970.0,292.06246
200,1980.0,292.73428
201,1990.0,285.35265
202,2000.0,288.57603
203,2001.0,288.53734
